ABC TRADERS PRIVATE LIMITED
Purchase Register - November 2025

GSTIN: 27ABCDE1234F2Z5

--------------------------------------------------------------------------------
Invoice Date  Invoice No  Supplier Name        Supplier GSTIN       Place of Supply   Taxable Value  IGST   CGST   SGST   Cess  Invoice Value
--------------------------------------------------------------------------------
05-11-2025    PUR-001     XYZ DISTRIBUTORS     27XYZDE9876F1Z2      27-Maharashtra    100000.00      0.00   9000   9000   0     118000.00
10-11-2025    PUR-002     LMN STORES           29LMNOP1234Z5A1      29-Karnataka      50000.00       9000   0.00   0.00   0     59000.00
20-11-2025    PUR-003     QWER INDUSTRIES      27QWERT1234Z8Z9      27-Maharashtra    10000.00       0.00   900    900    0     11800.00
28-11-2025    PUR-004     GLOBAL ELECTRICALS   24GLBELEC1234Z9      24-Gujarat        25000.00       4500   0.00   0.00   0     29500.00
30-11-2025    PUR-005     MEGA PLASTICS        27MEGPLA5432T8Z      27-Maharashtra    75000.00       0.00   6750   6750   0     88500.00
--------------------------------------------------------------------------------
Total Invoices: 5
--------------------------------------------------------------------------------


